index,symbol,companyName,listedDate,floor,industryName
50,CTC,CÔNG TY CỔ PHẦN TẬP ĐOÀN HOÀNG KIM TÂY NGUYÊN,2008-07-18,HNX,Cửa hàng chuyên dụng
51,CTP,CÔNG TY CỔ PHẦN MINH KHANG CAPITAL TRADING PUBLIC,2016-07-28,HNX,Nông sản và thủy hải sản
52,CTT,Công ty Cổ phần chế tạo máy - VINACOMIN,2015-07-17,HNX,Máy công nghiệp
53,CTX,Tổng Công ty Cổ phần Đầu tư xây dựng và Thương mại Việt Nam,2012-05-24,HNX,Vật liệu xây dựng
54,CVN,CÔNG TY CỔ PHẦN VINAM,2010-08-06,HNX,Xây dựng công trình
55,CX8,Công ty Cổ phần Đầu tư và Xây lắp Contrexim số 8 ,2010-05-19,HNX,Xây dựng công trình
56,D11,Công ty Cổ phần Địa ốc 11,2011-02-25,HNX,Đầu tư và phát triển bất động sản
57,DAD,Công ty Cổ phần Đầu tư và Phát triển giáo dục Đà Nẵng ,2009-08-19,HNX,Cửa hàng chuyên dụng
58,DAE,Công ty Cổ phần Sách Giáo Dục tại TP Đà Nẵng,2006-12-28,HNX,Hoạt động xuất bản
59,DC2,Công ty Cổ phần Đầu tư phát triển - Xây dựng (DIC) số 2,2010-07-02,HNX,Xây dựng công trình
60,DDG,Công ty cổ phần Đầu tư Công nghiệp Xuất nhập khẩu Đông Dương,2018-12-18,HNX,Thiết bị điện
61,DHP,Công ty Cổ phần Điện Cơ Hải Phòng,2013-03-21,HNX,Thiết bị điện
62,DHT,Công ty Cổ phần Dược phẩm Hà Tây ,2008-12-03,HNX,Dược phẩm
63,DIH,Công ty Cổ phần Đầu tư Phát triển Xây dựng Hội An,2011-04-27,HNX,Đầu tư và phát triển bất động sản
64,DL1,Công ty cổ phần tập đoàn Alpha Seven,2010-03-10,HNX,Dịch vụ vận tải
65,DNC,Công ty Cổ phần Điện nước lắp máy Hải Phòng,2009-12-23,HNX,Vật liệu xây dựng
66,DNM,Tổng Công ty Cổ phần Y tế Danameco ,2011-02-16,HNX,Thiết bị y tế
67,DNP,Công ty Cổ phần Nhựa Đồng Nai ,2009-06-29,HNX,Vật liệu xây dựng
