index,symbol,companyName,listedDate,floor,industryName
130,GAB,CÔNG TY CỔ PHẦN ĐẦU TƯ KHAI KHOÁNG & QUẢN LÝ TÀI SẢN FLC,2019-07-11,HOSE,Vật liệu xây dựng
131,GAS,Tổng Công ty Khí Việt Nam - CTCP,2012-05-21,HOSE,Gas
132,GDT,Công ty Cổ phần Chế biến Gỗ Đức Thành ,2009-11-17,HOSE,"Đồ đạc, nội thất"
133,GEG,Công ty Cổ phần Điện Gia Lai,2019-09-19,HOSE,Điện
134,GEX,Công ty Cổ phần Tập đoàn Gelex,2018-01-18,HOSE,Thiết bị điện
135,GIL,Công ty Cổ phần Sản Xuất Kinh Doanh Xuất Nhập Khẩu Bình Thạnh,2002-01-02,HOSE,"Đồ may mặc, trang sức, phụ kiện"
136,GMC,Công ty cổ phần Garmex Sài Gòn,2006-12-22,HOSE,"Đồ may mặc, trang sức, phụ kiện"
137,GMD,Công ty Cổ phần Gemadept ,2002-04-22,HOSE,Dịch vụ vận tải
138,GSP,Công ty Cổ phần Vận tải Sản Phẩm khí Quốc Tế,2012-03-09,HOSE,Gas
139,GTA,Công ty Cổ phần chế biến gỗ Thuận An,2007-07-23,HOSE,"Đồ đạc, nội thất"
140,GTN,Công ty cổ phần GTNFOODS,2014-10-03,HOSE,Sản xuất thực phẩm
141,GVR,Tập đoàn Công nghiệp Cao su Việt Nam - Công ty cổ phần,2020-03-17,HOSE,Hóa chất cơ bản
142,HAG,Công ty Cổ phần Hoàng Anh Gia Lai,2008-12-22,HOSE,Đầu tư và phát triển bất động sản
143,HAH,Công ty Cổ phần Vận tải và xếp dỡ Hải An ,2015-03-11,HOSE,Dịch vụ vận tải
144,HAI,Công ty Cổ phần Nông dược H.A.I,2010-04-20,HOSE,Hóa chất đặc biệt
145,HAP,Công ty Cổ phần Tập đoàn HAPACO,2021-09-06,HOSE,Giấy
146,HAR,Công ty Cổ phần Đầu tư Thương mại Bất động sản An Dương Thảo Điền,2013-01-17,HOSE,Đầu tư và phát triển bất động sản
147,HAS,Công ty Cổ phần Hacisco,2002-12-19,HOSE,Xây dựng công trình
148,HAX,Công ty Cổ phần Dịch vụ Ô tô Hàng Xanh,2006-12-26,HOSE,Cửa hàng chuyên dụng
149,HBC,Công ty Cổ phần Tập đoàn Xây dựng Hòa Bình,2006-12-27,HOSE,Xây dựng công trình
150,HCD,Công ty cổ phần Đầu tư Sản xuất và Thương mại HCD,2016-07-04,HOSE,Vật liệu xây dựng
151,HCM,Công ty Cổ phần Chứng khoán Thành phố Hồ Chí Minh,2009-05-19,HOSE,Dịch vụ đầu tư
152,HDB,Ngân hàng Thương mại Cổ phần Phát triển Thành phố Hồ Chí Minh,2018-01-05,HOSE,Ngân hàng
153,HDC,Công ty Cổ phần Phát triển nhà Bà Rịa-Vũng Tàu,2007-10-08,HOSE,Đầu tư và phát triển bất động sản
154,HDG,Công ty Cổ phần Tập đoàn Hà Đô,2010-02-02,HOSE,Đầu tư và phát triển bất động sản
155,HHP,Công ty cổ phần Giấy Hoàng Hà Hải Phòng,2021-03-03,HOSE,Giấy
156,HHS,Công ty Cổ phần Đầu tư - Dịch vụ Hoàng Huy ,2012-02-15,HOSE,Ôtô
157,HID,Công ty Cổ phần Halcom Việt Nam,2016-07-11,HOSE,Xây dựng công trình
158,HII,Công ty Cổ phần An Tiến Industries,2017-06-22,HOSE,Khai khoáng nói chung
159,HMC,Công ty Cổ phần Kim khí Thành phố Hồ Chí Minh - VNSTEEL,2006-12-21,HOSE,Thép
160,HNG,Công ty Cổ phần Nông nghiệp Quốc tế Hoàng Anh Gia Lai,2015-07-20,HOSE,Nông sản và thủy hải sản
161,HOT,Công ty Cổ phần Du lịch-Dịch vụ Hội An,2011-07-21,HOSE,Khách sạn
162,HPG,Công ty Cổ phần Tập đoàn Hòa Phát,2007-11-15,HOSE,Thép
163,HPX,Công ty cổ phần Đầu tư Hải Phát,2018-07-24,HOSE,Đầu tư và phát triển bất động sản
164,HQC,Công ty Cổ phần Tư vấn - Thương mại - Dịch vụ Địa ốc Hoàng Quân,2010-10-20,HOSE,Đầu tư và phát triển bất động sản
165,HRC,Công ty Cổ phần Cao su Hòa Bình,2006-12-26,HOSE,Hóa chất cơ bản
166,HSG,Công ty Cổ phần Tập đoàn Hoa Sen,2008-12-05,HOSE,Thép
167,HSL,CÔNG TY CỔ PHẦN ĐẦU TƯ PHÁT TRIỂN THỰC PHẨM HỒNG HÀ,2018-05-10,HOSE,Nông sản và thủy hải sản
168,HT1,Công ty Cổ phần xi măng Hà Tiên 1,2007-11-13,HOSE,Vật liệu xây dựng
169,HTI,Công ty Cổ phần Đầu tư Phát triển Hạ tầng IDICO,2010-12-20,HOSE,Xây dựng công trình
170,HTL,Công ty Cổ phần Kỹ thuật và Ô tô Trường Long,2011-01-10,HOSE,Xe tải và phương tiện vận chuyển thương mại
171,HTN,Công ty cổ phần Hưng Thịnh Incons,2018-11-12,HOSE,Xây dựng công trình
172,HTV,Công ty cổ phần Logistics Vicem,2006-01-05,HOSE,Dịch vụ vận tải
173,HU1,Công ty Cổ phần Đầu tư và Xây dựng HUD1,2011-11-03,HOSE,Xây dựng công trình
174,HU3,Công ty Cổ phần Đầu tư và Xây dựng HUD3,2011-03-18,HOSE,Vật liệu xây dựng
175,HUB,Công ty Cổ phần Xây lắp Thừa Thiên Huế,2019-02-26,HOSE,Xây dựng công trình
176,HVH,Công ty cổ phần Đầu tư và Công nghệ HVC,2018-11-30,HOSE,"Thiết bị, đồ dùng phục vụ mục đích vui chơi giải trí"
177,HVN,Tổng Công ty Hàng không Việt Nam - CTCP,2019-05-07,HOSE,Hàng không
178,HVX,Công ty Cổ phần xi măng Vicem Hải Vân ,2010-09-28,HOSE,Vật liệu xây dựng
179,IBC,Công ty cổ phần Đầu tư APAX HOLDINGS,2017-12-15,HOSE,Tài chính chuyên biệt
180,ICT,Công ty cổ phần Viễn thông - Tin học Bưu điện,2020-01-15,HOSE,Thiết bị viễn thông
