index,symbol,companyName,listedDate,floor,industryName
467,MQB,Công ty Cổ phần Môi trường và Phát triển đô thị Quảng Bình,2017-11-08,UPCOM,Dịch vụ xử lý phế liệu phế thải
468,MQN,Công ty Cổ phần Môi trường đô thị Quảng Ngãi,2018-06-22,UPCOM,Dịch vụ xử lý phế liệu phế thải
469,MRF,Công ty cổ phần Merufa,2017-12-12,UPCOM,Vật dụng y tế
470,MSR,CÔNG TY CỔ PHẦN MASAN HIGH-TECH MATERIALS,2015-09-17,UPCOM,Khai khoáng nói chung
471,MTA,Tổng Công ty Khoáng sản và Thương mại Hà Tĩnh - CTCP,2015-10-21,UPCOM,Khai khoáng nói chung
472,MTB,CÔNG TY CỔ PHẦN MÔI TRƯỜNG VÀ CÔNG TRÌNH ĐÔ THỊ TỈNH THÁI BÌNH,2020-12-10,UPCOM,Dịch vụ xử lý phế liệu phế thải
473,MTC,Công ty Cổ phần Dịch vụ du lịch Mỹ Trà,2012-08-17,UPCOM,Nhà hàng & quầy bar
474,MTG,Công ty Cổ phần MT GAS,2015-06-25,UPCOM,Gas
475,MTH,Công ty Cổ phần Môi trường Đô thị Hà Đông,2011-02-10,UPCOM,Dịch vụ xử lý phế liệu phế thải
476,MTL,Công ty Cổ phần Dịch vụ Môi trường Đô thị Từ Liêm,2016-05-10,UPCOM,Dịch vụ xử lý phế liệu phế thải
477,MTP,Công ty cổ phần Dược Medipharco,2010-09-23,UPCOM,Dược phẩm
478,MTS,Công ty Cổ phần Vật tư - TKV,2017-04-28,UPCOM,Dịch vụ và Thiết bị dầu khí
479,MTV,Công ty Cổ phần Dịch vụ Môi trường và Công trình Đô thị Vũng Tàu,2017-08-16,UPCOM,Dịch vụ xử lý phế liệu phế thải
480,MVC,Công ty cổ phần Vật liệu và Xây dựng Bình Dương,2017-03-22,UPCOM,Vật liệu xây dựng
481,MVN,Tổng Công ty Hàng hải Việt Nam – Công ty cổ phần,2018-10-08,UPCOM,Vận tải biển
482,MXC,Trung tâm Nông nghiệp Mùa Xuân,2020-12-10,UPCOM,Nông sản và thủy hải sản
483,NAB,Ngân hàng Thương mại Cổ phần Nam Á,2020-10-09,UPCOM,Ngân hàng
484,NAC,Công ty Cổ phần Tư vấn Xây dựng Tổng hợp,2017-03-21,UPCOM,Xây dựng công trình
485,NAS,Công ty Cổ phần Dịch vụ Hàng không Sân bay Nội Bài,2017-01-25,UPCOM,Dịch vụ vận tải
486,NAU,Công ty Cổ phần Môi trường và Công trình Đô thị Nghệ An,2018-06-29,UPCOM,Dịch vụ xử lý phế liệu phế thải
487,NAW,Công ty Cổ phần Cấp nước Nghệ An,2017-08-04,UPCOM,Nước
488,NBE,Công ty Cổ phần Sách và Thiết bị giáo dục miền Bắc,2017-08-21,UPCOM,Cửa hàng chuyên dụng
489,NBT,Công ty cổ phần cấp thoát nước Bến Tre,2016-06-01,UPCOM,Nước
490,NCS,Công ty cổ phần Suất ăn hàng không Nội Bài,2015-12-02,UPCOM,Nhà hàng & quầy bar
491,ND2,Công ty Cổ phần Đầu tư và Phát triển điện miền Bắc 2,2010-07-22,UPCOM,Xây dựng công trình
492,NDC,Công ty Cổ phần Nam dược ,2010-03-11,UPCOM,Dược phẩm
493,NDF,Công ty Cổ phần Chế biến Thực phẩm Nông sản Xuất khẩu Nam Định,2019-11-18,UPCOM,Sản xuất thực phẩm
494,NDP,Công ty cổ phần Dược phẩm 2/9,2015-11-20,UPCOM,Dược phẩm
495,NDT,Tổng Công ty cổ phần Dệt May Nam Định,2018-09-11,UPCOM,"Đồ may mặc, trang sức, phụ kiện"
496,NDW,Công ty Cổ phần Cấp nước Nam Định,2019-06-11,UPCOM,Nước
497,NED,Công ty cổ phần Đầu tư và Phát triển Điện Tây Bắc,2017-08-18,UPCOM,Điện
498,NGC,Công ty Cổ phần Chế biến thủy sản Xuất khẩu Ngô Quyền ,2021-05-31,UPCOM,Nông sản và thủy hải sản
499,NHP,Công ty Cổ phần sản xuất xuất nhập khẩu NHP,2021-07-02,UPCOM,Bao bì & đóng gói
500,NHV,Công ty Cổ phần Đầu tư NHV,2017-06-14,UPCOM,Sản xuất thực phẩm
501,NJC,Công ty Cổ phần May Nam Định,2020-12-23,UPCOM,"Đồ may mặc, trang sức, phụ kiện"
502,NLS,Công ty cổ phần Cấp thoát nước Lạng Sơn,2016-07-29,UPCOM,Nước
503,NNG,Công ty Cổ phần công nghiệp- dịch vụ- thương mại Ngọc Nghĩa,2015-03-31,UPCOM,Bao bì & đóng gói
504,NNQ,Công ty cổ phần Giống nông nghiệp Quảng Nam,2020-02-20,UPCOM,Nông sản và thủy hải sản
505,NNT,Công ty Cổ phần Cấp nước Ninh Thuận,2012-06-22,UPCOM,Nước
506,NOS,Công ty cổ phần Vận tải biển và Thương mại Phương Đông,2011-01-11,UPCOM,Vận tải biển
507,NQB,Công ty Cổ phần Cấp thoát nước Quảng Bình,2015-07-16,UPCOM,Nước
508,NQN,Công ty Cổ phần Nước sạch Quảng Ninh,2018-06-15,UPCOM,Nước
509,NQT,Công ty cổ phần Nước sạch Quảng Trị,2016-12-09,UPCOM,Nước
510,NS2,Công ty Cổ phần Nước sạch số 2 Hà Nội,2016-11-30,UPCOM,Nước
511,NS3,Công ty Cổ phần sản xuất kinh doanh nước sạch số 3 Hà Nội,2016-12-26,UPCOM,Nước
512,NSG,Công ty Cổ phần Nhựa Sài Gòn,2016-05-19,UPCOM,Vật liệu xây dựng
513,NSL,Công ty Cổ phần cấp nước Sơn La,2019-07-22,UPCOM,Nước
514,NSS,Công ty cổ phần Nông Súc Sản Đồng Nai,2018-10-30,UPCOM,Nông sản và thủy hải sản
515,NTB,Công ty Cổ phần Đầu tư Xây dựng và Khai thác Công trình Giao thông 584,2014-01-16,UPCOM,Đầu tư và phát triển bất động sản
516,NTC,Công ty cổ phần Khu Công nghiệp Nam Tân Uyên,2016-12-19,UPCOM,Đầu tư và phát triển bất động sản
517,NTF,Công ty cổ phần Dược - Vật tư Y tế Nghệ An,2019-07-04,UPCOM,Dược phẩm
518,NTT,Công ty cổ phần Dệt - May Nha Trang,2017-12-27,UPCOM,"Đồ may mặc, trang sức, phụ kiện"
519,NTW,Công ty Cổ phần Cấp nước Nhơn Trạch,2012-04-09,UPCOM,Nước
520,NUE,Công ty cổ phần Môi trường Đô thị Nha Trang,2017-02-20,UPCOM,Dịch vụ xử lý phế liệu phế thải
521,NVP,Công ty cổ phần Nước sạch Vĩnh Phúc,2016-12-15,UPCOM,Nước
522,NWT,Công ty Cổ phần Vận tải Newway,2016-03-30,UPCOM,Dịch vụ vận tải
523,NXT,Công ty cổ phần sản xuất và cung ứng vật liệu xây dựng Kom Tum,2021-12-09,UPCOM,Vật liệu xây dựng
524,OIL,Tổng Công ty Dầu Việt Nam – Công ty cổ phần,2018-03-07,UPCOM,Dầu khí tổng hợp
525,ONW,Công ty Cổ phần Dịch vụ Một Thế Giới,2017-02-17,UPCOM,Phần mềm
526,PAI,"Công ty Cổ phần Công nghệ Thông tin, Viễn thông và Tự động hóa Dầu Khí",2017-01-23,UPCOM,Dịch vụ máy tính
527,PAP,Công ty Cổ phần Dầu khí Đầu tư Khai thác Cảng Phước An,2021-07-14,UPCOM,Dịch vụ vận tải
528,PAS,CÔNG TY CỔ PHẦN QUỐC TẾ PHƯƠNG ANH,2020-09-21,UPCOM,Thép
